影片,年份,导演,评分
疯狂动物城 Zootopia,2016,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,9.4
神战：权力之眼 Gods of Egypt,2016,亚历克斯·普罗亚斯,7.0
超新约全书 Le tout nouveau testament,2015,雅克·范·多梅尔,8.0
哪啊哪啊神去村 WOOD JOB！神去なあなあ日常,2014,矢口史靖,8.5
一家人 Manam,2014,Vikram K. Kumar,7.0
美人鱼,2016,周星驰,7.3
伪装者,2015,李雪,8.3
我不是王毛,2016,赵小溪,7.4
哪一天我们会飞 哪一天我們會飛,2015,黄修平,7.3
狂舞派,2013,黄修平,7.4
废柴兄弟3,2015,姬智,7.6
白日梦想家 The Secret Life of Walter Mitty,2013,本·斯蒂勒,8.3
乌云背后的幸福线 Silver Linings Playbook,2012,大卫·O·拉塞尔,7.8
火影忍者剧场版：博人传 BORUTO -NARUTO THE MOVIE-,2015,山下宏幸,8.5
箭士柳白猿,2012,徐皓峰,7.6
海洋之歌 Song of the Sea,2014,汤姆·摩尔,8.8
"迷途知返 The Way, Way Back",2013,奈特·法松/吉姆·拉什,7.6
美味盛宴 Feast,2014,帕特里克·奥斯本,8.2
超级维纳斯 Supervenus,2014,Frédéric Doazan,8.2
盒子怪 The Boxtrolls,2014,格雷厄姆·安纳布尔/Anthony Stacchi,7.7
少年收容所 Short Term 12,2013,德斯汀·克里顿,7.8
如果动物界都是胖子 Rollin' Wild,2013,FMX 2013,9.0
倭寇的踪迹,2012,徐皓峰,7.1
说来有点可笑 It's Kind of a Funny Story,2010,安娜·波顿/瑞安·弗雷克,7.8
单曲人生 A Single Life,2014,Marieke Blaauw/Joris Oprins/Job Roggeveen,8.1
布达佩斯大饭店 The Grand Budapest Hotel,2014,韦斯·安德森,8.7
生活大爆炸  第二季 The Big Bang Theory Season 2,2008,查克·罗瑞/比尔·布拉迪,9.4
阳光姐妹淘 써니,2011,姜炯哲,8.8
武侠,2011,陈可辛,6.6
十三刺客 十三人の刺客,2010,三池崇史,7.7
宇宙快递 Johnny  Express,2014,吴坤明,9.0
尚格·云顿 JCVD,2008,Mabrouk El Mechri,7.5
恋恋书中人 Ruby Sparks,2012,乔纳森·戴顿/维莱莉·法瑞斯,7.5
岳父岳母真难当 Qu'est-ce qu'on a fait au Bon Dieu?,2014,菲利普∙德∙肖伏隆,8.0
熊出没之熊心归来,2016,丁亮/林永长,6.3
神勇战士 第二季 Bravest Warriors Season 2,2013,彭德尔顿·沃德,9.4
不再沉默 Speak,2004,杰西卡·沙泽尔,7.7
火箭科学 Rocket Science,2007,Jeffrey Blitz,7.5
太虚道人 Here Comes Mr. Jordan,1941,亚历山大·赫尔,7.6
斯黛拉 Stella,2008,Sylvie Verheyde,8.2
天降美食2 Cloudy with a Chance of Meatballs 2,2013,科迪·卡梅伦/克里斯·皮尔恩,7.1
太极2：英雄崛起,2012,冯德伦,6.0
精灵旅社 Hotel Transylvania,2012,格恩迪·塔塔科夫斯基,7.8
嘻哈四重奏 第三季,2010,卢正雨,7.6
寻找心中的你 王家欣,2015,刘伟恒,7.4
结婚礼服 웨딩드레스,2010,权炯辰,8.5
驯龙骑士 Justin y la Espada del Valor,2013,曼努埃尔·西西里阿,5.8
碧与汪喵 第一季 Bee and PuppyCat Season 1,2013,Larry Leichliter,8.7
四大名捕,2012,陈嘉上/秦小珍,5.0
小羊肖恩 Shaun the Sheep Movie,2015,马克·伯顿/理查德·斯塔扎克,8.4
藏羚王之雪域精灵,2015,刘宇军,4.5
小黄人大眼萌 Minions,2015,凯尔·巴尔达/皮艾尔·柯芬,7.3
叶问3,2015,叶伟信,6.7
北平无战事,2014,孔笙/李雪,8.8
哆啦A梦：伴我同行 STAND BY ME ドラえもん,2014,八木龙一/山崎贵,8.0
泰拳风云 สามพันโบก,2009,泰拉蓬·马里旺,3.3
那些年，我们一起追的女孩 那些年，我們一起追的女孩,2011,九把刀,8.2
家园防线 Homefront,2013,加里·弗莱德,6.2
潜艇总动员5：时光宝盒,2015,何子力,4.2
好汉两个半  第一季 Two and a Half Men Season 1,2003,Lee Aronsohn/Chuck Lorre,8.5
新婚公寓,2016,陈畅,7.7
纸人 Paperman,2012,约翰·凯世,8.1
少女日记 The Diary of a Teenage Girl,2015,玛丽埃尔·海勒,7.1
污泥 Mud,2012,杰夫·尼克尔斯,7.8
婚纱照,2013,卢正雨,7.5
富贵逼人来 Being There,1979,哈尔·阿什贝,8.2
定制伴郎 The Wedding Ringer,2015,杰里米·加尔利,7.1
春天不是读书天 Ferris Bueller's Day Off,1986,约翰·休斯,7.9
再见我们的幼儿园 さよならぼくたちのようちえん,2011,水田伸生,8.8
日常工作 第六季 Regular Show Season 6,2014,约翰·伊凡蒂诺,9.3
风流女妖 I Married a Witch,1942,雷内·克莱尔,6.8
暴力史 A History of Violence,2005,大卫·柯南伯格,7.4
探险活宝 第一季 Adventure Time with Finn and Jake Season 1,2010,彭德尔顿·沃德,9.3
单身公寓 The Odd Couple,1968,吉尼·萨克斯,7.7
不起眼的谋杀案 A Slight Case of Murder,1938,Lloyd Bacon,7.3
谍影特工 The November Man,2014,罗杰·唐纳森,6.3
忍者2：撕裂的暗影 Ninja: Shadow Of A Tear,2013,艾萨克·佛罗伦汀,5.5
无心法师,2015,林玉芬/高林豹,8.4
龙虎少年队 21 Jump Street,2012,菲尔·罗德/克里斯托弗·米勒,6.8
伴我同行 Stand by Me,1986,罗伯·莱纳,8.9
睡石 An Object at Rest,2015,Seth Boyden,8.3
怒海威龙,1995,元彬/徐忠信,5.3
中国合伙人,2013,陈可辛,7.7
红色,2014,杨磊,9.3
犯罪现场2 크라임 씬2,2015,尹贤镇,9.3
澳门风云3 賭城風雲III,2016,刘伟强/王晶,4.0
座头市 座頭市,2003,北野武,7.9
危险人物 Payback,1999,布莱恩·海尔格兰德/约翰·迈尔,7.2
呼吸 Atmen,2011,卡尔·马克维斯,7.3
人人都爱催眠蛤蟆 Everybody Loves Hypnotoad,2007,催眠蛤蟆,8.3
恭喜发财之谈钱说爱,2016,孙宏凯,2.8
达尔玛和格里格 第二季 Dharma & Greg Season 2,1998,Dottie Dartland/查克·罗瑞 Chuck Lorre,9.3
宗师卜六,2013,周伟,4.2
琅琊榜,2015,孔笙/李雪,9.2
冠军 챔프,2011,李焕庆,8.0
金刚王：死亡救赎,2013,罗永昌,5.4
约会规则  第四季 Rules of Engagement Season 4,2010,Andy Ackerman/泰德·瓦斯,8.3
